Bird,Infection,Diet,Day,eyescore
LD19239,MG,lipid,7,4
LD19239,MG,lipid,10,4
LD19239,MG,lipid,14,0
LD19239,MG,lipid,16,0
LD19239,MG,lipid,18,0
LD19239,MG,lipid,21,0
LD19239,MG,lipid,23,0
LD19239,MG,lipid,25,0
LD19239,MG,lipid,28,0
LD19239,MG,lipid,30,0
LD19239,MG,lipid,32,0
LD19239,MG,lipid,35,0
Orange27,MG,lipid,1,0
Orange27,MG,lipid,3,1
Orange27,MG,lipid,5,2.5
Orange27,MG,lipid,7,0.5
Orange27,MG,lipid,10,2
SEM1976,MG,lipid,1,0
SEM1976,MG,lipid,3,3
SEM1976,MG,lipid,5,4.5
SEM1976,MG,lipid,7,5
SEM1976,MG,lipid,10,5
SEM1976,MG,lipid,14,4
SEM1976,MG,lipid,16,4
SEM1976,MG,lipid,18,4
SEM1976,MG,lipid,21,2
SEM1976,MG,lipid,23,2
SEM1976,MG,lipid,25,2
SEM1976,MG,lipid,28,2
SEM1976,MG,lipid,30,1.5
SEM1976,MG,lipid,32,1
SEM1976,MG,lipid,35,0
106,MG,protein,1,0
106,MG,protein,3,6
106,MG,protein,5,6
106,MG,protein,7,6
610,MG,protein,1,0
610,MG,protein,3,4
610,MG,protein,5,5
610,MG,protein,7,2.5
610,MG,protein,10,1.5
610,MG,protein,14,0
610,MG,protein,16,0
610,MG,protein,18,0
610,MG,protein,21,0
610,MG,protein,23,0
610,MG,protein,25,0
610,MG,protein,28,0
610,MG,protein,30,0
610,MG,protein,32,0
610,MG,protein,35,0
Blue032,MG,protein,1,0
Blue032,MG,protein,3,4.5
Blue032,MG,protein,5,5.5
Blue032,MG,protein,7,4
Blue032,MG,protein,10,1
Blue032,MG,protein,14,0
Blue032,MG,protein,16,0
Blue032,MG,protein,18,0
Blue032,MG,protein,21,0
Blue032,MG,protein,23,0
Blue032,MG,protein,25,0
Blue032,MG,protein,28,0
Blue032,MG,protein,30,0
Blue032,MG,protein,32,0
Blue032,MG,protein,35,0
Blue035,MG,protein,1,0
Blue035,MG,protein,3,5
Blue035,MG,protein,5,6
Blue035,MG,protein,7,5.5
Blue035,MG,protein,10,3
Blue035,MG,protein,14,1
Blue035,MG,protein,16,1
Blue035,MG,protein,18,0.5
Blue035,MG,protein,21,0.5
Blue035,MG,protein,23,0.5
Blue035,MG,protein,25,0
Blue035,MG,protein,28,0
Blue035,MG,protein,30,0
Blue035,MG,protein,32,0
Blue035,MG,protein,35,0
Blue037,MG,protein,1,0
Blue037,MG,protein,3,1.5
Blue037,MG,protein,5,4.5
Blue037,MG,protein,7,5
Blue037,MG,protein,10,1
Blue037,MG,protein,14,0.5
Blue037,MG,protein,16,0.5
Blue037,MG,protein,18,0.5
Blue037,MG,protein,21,1
Blue037,MG,protein,23,0
Blue037,MG,protein,25,0.5
Blue037,MG,protein,28,0.5
Blue037,MG,protein,30,0
Blue037,MG,protein,32,0
Blue037,MG,protein,35,0
Blue042,MG,protein,1,0
Blue042,MG,protein,3,3
Blue042,MG,protein,5,3
Blue042,MG,protein,7,4.5
Blue042,MG,protein,10,5
Blue042,MG,protein,14,0.5
Blue042,MG,protein,16,0.5
Blue042,MG,protein,18,0.5
Blue042,MG,protein,21,0
Blue042,MG,protein,23,0
Blue042,MG,protein,25,0
Blue042,MG,protein,28,0
Blue042,MG,protein,30,0
Blue042,MG,protein,32,0
Blue042,MG,protein,35,0
Blue045,MG,protein,1,0
Blue045,MG,protein,3,2.5
Blue045,MG,protein,5,5
Blue045,MG,protein,7,5
Blue045,MG,protein,10,2.5
Blue045,MG,protein,14,0
Blue045,MG,protein,16,0
Blue045,MG,protein,18,0
Blue045,MG,protein,21,0
Blue045,MG,protein,23,0
Blue045,MG,protein,25,0
Blue045,MG,protein,28,0
Blue045,MG,protein,30,0
Blue045,MG,protein,32,0
Blue045,MG,protein,35,0
SEM19107,MG,protein,1,0
SEM19107,MG,protein,3,0
SEM19107,MG,protein,5,6
SEM19107,MG,protein,7,6
SEM19107,MG,protein,10,6
SEM19107,MG,protein,14,2.5
SEM19107,MG,protein,16,2
SEM19107,MG,protein,18,2
SEM19107,MG,protein,21,1
SEM19107,MG,protein,23,1
SEM19107,MG,protein,25,1
SEM19107,MG,protein,28,1
SEM19107,MG,protein,30,0
SEM19107,MG,protein,32,0
SEM19107,MG,protein,35,0
SEM191481,MG,protein,1,0
SEM191481,MG,protein,3,0
SEM191481,MG,protein,5,3
SEM191481,MG,protein,7,4.5
SEM191481,MG,protein,10,4.5
SEM191481,MG,protein,14,0
SEM191481,MG,protein,16,0
SEM191481,MG,protein,18,0
SEM191481,MG,protein,21,0
SEM191481,MG,protein,23,0
SEM191481,MG,protein,25,0
SEM191481,MG,protein,28,0
SEM191481,MG,protein,30,0
SEM191481,MG,protein,32,0
SEM191481,MG,protein,35,0
SEM1974,MG,protein,1,0
SEM1974,MG,protein,3,2.5
SEM1974,MG,protein,5,6
SEM1974,MG,protein,7,6
SEM1974,MG,protein,10,4.5
SEM1974,MG,protein,14,0.5
SEM1974,MG,protein,16,0.5
SEM1974,MG,protein,18,0.5
SEM1974,MG,protein,21,0
SEM1974,MG,protein,23,0
SEM1974,MG,protein,25,0
SEM1974,MG,protein,28,0
SEM1974,MG,protein,30,0
SEM1974,MG,protein,32,0
SEM1974,MG,protein,35,0
